year,age,sex,n_new_diagnoses
2001,0,F,0
2001,0,M,0
2001,1,F,0
2001,1,M,0
2001,2,F,0
2001,2,M,0
2001,3,F,205
2001,3,M,270
2001,4,F,182
2001,4,M,328
2001,5,F,137
2001,5,M,228
2001,6,F,88
2001,6,M,156
2001,7,F,88
2001,7,M,125
2001,8,F,76
2001,8,M,77
2001,9,F,51
2001,9,M,74
2001,10,F,52
2001,10,M,50
2001,11,F,55
2001,11,M,48
2001,12,F,34
2001,12,M,29
2001,13,F,43
2001,13,M,28
2001,14,F,32
2001,14,M,29
2001,15,F,34
2001,15,M,28
2001,16,F,34
2001,16,M,36
2001,17,F,23
2001,17,M,18
2001,18,F,33
2001,18,M,23
2001,19,F,38
2001,19,M,17
2001,20,F,38
2001,20,M,16
2001,21,F,37
2001,21,M,23
2001,22,F,35
2001,22,M,26
2001,23,F,31
2001,23,M,28
2001,24,F,44
2001,24,M,28
2001,25,F,34
2001,25,M,22
2001,26,F,39
2001,26,M,20
2001,27,F,31
2001,27,M,21
2001,28,F,42
2001,28,M,22
2001,29,F,29
2001,29,M,27
2001,30,F,36
2001,30,M,23
2001,31,F,34
2001,31,M,29
2001,32,F,54
2001,32,M,22
2001,33,F,45
2001,33,M,23
2001,34,F,45
2001,34,M,32
2001,35,F,44
2001,35,M,32
2001,36,F,56
2001,36,M,40
2001,37,F,60
2001,37,M,38
2001,38,F,61
2001,38,M,38
2001,39,F,43
2001,39,M,48
2001,40,F,56
2001,40,M,38
2001,41,F,57
2001,41,M,39
2001,42,F,61
2001,42,M,34
2001,43,F,69
2001,43,M,31
2001,44,F,55
2001,44,M,23
2001,45,F,57
2001,45,M,33
2001,46,F,65
2001,46,M,39
2001,47,F,60
2001,47,M,27
2001,48,F,47
2001,48,M,29
2001,49,F,56
2001,49,M,32
2001,50,F,37
2001,50,M,27
2001,51,F,45
2001,51,M,28
2001,52,F,50
2001,52,M,31
2001,53,F,37
2001,53,M,34
2001,54,F,46
2001,54,M,26
2001,55,F,41
2001,55,M,21
2001,56,F,40
2001,56,M,31
2001,57,F,39
2001,57,M,26
2001,58,F,30
2001,58,M,28
2001,59,F,37
2001,59,M,16
2001,60,F,27
2001,60,M,22
2001,61,F,30
2001,61,M,16
2001,62,F,34
2001,62,M,23
2001,63,F,33
2001,63,M,32
2001,64,F,30
2001,64,M,12
2001,65,F,29
2001,65,M,22
2001,66,F,25
2001,66,M,18
2001,67,F,24
2001,67,M,22
2001,68,F,19
2001,68,M,19
2001,69,F,24
2001,69,M,21
2001,70,F,25
2001,70,M,18
2001,71,F,26
2001,71,M,16
2001,72,F,15
2001,72,M,18
2001,73,F,28
2001,73,M,10
2001,74,F,29
2001,74,M,11
2001,75,F,27
2001,75,M,16
2001,76,F,21
2001,76,M,10
2001,77,F,25
2001,77,M,14
2001,78,F,31
2001,78,M,10
2001,79,F,26
2001,79,M,8
2001,80,F,17
2001,80,M,14
2001,81,F,19
2001,81,M,6
2001,82,F,13
2001,82,M,4
2001,83,F,7
2001,83,M,5
2001,84,F,6
2001,84,M,8
2001,85,F,8
2001,85,M,2
2001,86,F,11
2001,86,M,4
2001,87,F,6
2001,87,M,2
2001,88,F,6
2001,88,M,5
2001,89,F,5
2001,89,M,3
2001,90,F,14
2001,90,M,4
2001,91,F,3
2001,91,M,1
2001,92,F,2
2001,92,M,1
2001,93,F,2
2001,93,M,1
2001,94,F,2
2001,94,M,1
2001,95,F,2
2001,95,M,0
2001,96,F,0
2001,96,M,0
2001,97,F,0
2001,97,M,0
2001,98,F,2
2001,98,M,0
2001,99,F,0
2001,99,M,0
2001,100,F,0
2001,100,M,0
2001,101,F,0
2001,101,M,0
2001,102,F,0
2001,102,M,0
2001,103,F,0
2001,103,M,0
2001,104,F,0
2001,104,M,0
2001,105,F,0
2001,105,M,0
2001,106,F,0
2001,106,M,0
2001,107,F,0
2001,107,M,0
2001,108,F,0
2001,108,M,0
2001,109,F,0
2001,109,M,0
2001,110,F,0
2001,110,M,0
2002,0,F,0
2002,0,M,0
2002,1,F,0
2002,1,M,0
2002,2,F,0
2002,2,M,0
2002,3,F,217
2002,3,M,289
2002,4,F,169
2002,4,M,255
2002,5,F,118
2002,5,M,203
2002,6,F,104
2002,6,M,155
2002,7,F,87
2002,7,M,95
2002,8,F,72
2002,8,M,87
2002,9,F,54
2002,9,M,71
2002,10,F,59
2002,10,M,50
2002,11,F,31
2002,11,M,60
2002,12,F,39
2002,12,M,41
2002,13,F,39
2002,13,M,31
2002,14,F,29
2002,14,M,29
2002,15,F,26
2002,15,M,20
2002,16,F,43
2002,16,M,24
2002,17,F,39
2002,17,M,18
2002,18,F,29
2002,18,M,16
2002,19,F,31
2002,19,M,24
2002,20,F,37
2002,20,M,29
2002,21,F,37
2002,21,M,19
2002,22,F,45
2002,22,M,25
2002,23,F,43
2002,23,M,29
2002,24,F,51
2002,24,M,16
2002,25,F,40
2002,25,M,19
2002,26,F,35
2002,26,M,18
2002,27,F,38
2002,27,M,25
2002,28,F,45
2002,28,M,27
2002,29,F,45
2002,29,M,29
2002,30,F,37
2002,30,M,26
2002,31,F,56
2002,31,M,30
2002,32,F,49
2002,32,M,25
2002,33,F,36
2002,33,M,35
2002,34,F,48
2002,34,M,36
2002,35,F,63
2002,35,M,28
2002,36,F,41
2002,36,M,44
2002,37,F,51
2002,37,M,44
2002,38,F,57
2002,38,M,37
2002,39,F,53
2002,39,M,51
2002,40,F,59
2002,40,M,40
2002,41,F,56
2002,41,M,40
2002,42,F,52
2002,42,M,43
2002,43,F,45
2002,43,M,37
2002,44,F,43
2002,44,M,45
2002,45,F,45
2002,45,M,36
2002,46,F,63
2002,46,M,34
2002,47,F,43
2002,47,M,33
2002,48,F,60
2002,48,M,36
2002,49,F,47
2002,49,M,23
2002,50,F,39
2002,50,M,33
2002,51,F,44
2002,51,M,26
2002,52,F,37
2002,52,M,33
2002,53,F,44
2002,53,M,25
2002,54,F,34
2002,54,M,28
2002,55,F,50
2002,55,M,26
2002,56,F,34
2002,56,M,27
2002,57,F,25
2002,57,M,31
2002,58,F,35
2002,58,M,29
2002,59,F,42
2002,59,M,24
2002,60,F,44
2002,60,M,12
2002,61,F,26
2002,61,M,25
2002,62,F,35
2002,62,M,20
2002,63,F,27
2002,63,M,21
2002,64,F,31
2002,64,M,17
2002,65,F,30
2002,65,M,14
2002,66,F,26
2002,66,M,24
2002,67,F,19
2002,67,M,11
2002,68,F,29
2002,68,M,33
2002,69,F,23
2002,69,M,20
2002,70,F,28
2002,70,M,21
2002,71,F,32
2002,71,M,18
2002,72,F,19
2002,72,M,24
2002,73,F,26
2002,73,M,20
2002,74,F,26
2002,74,M,14
2002,75,F,18
2002,75,M,10
2002,76,F,25
2002,76,M,18
2002,77,F,29
2002,77,M,11
2002,78,F,17
2002,78,M,16
2002,79,F,17
2002,79,M,12
2002,80,F,24
2002,80,M,7
2002,81,F,15
2002,81,M,7
2002,82,F,22
2002,82,M,6
2002,83,F,18
2002,83,M,4
2002,84,F,13
2002,84,M,4
2002,85,F,11
2002,85,M,2
2002,86,F,6
2002,86,M,4
2002,87,F,11
2002,87,M,3
2002,88,F,6
2002,88,M,3
2002,89,F,5
2002,89,M,1
2002,90,F,7
2002,90,M,1
2002,91,F,6
2002,91,M,2
2002,92,F,4
2002,92,M,1
2002,93,F,2
2002,93,M,0
2002,94,F,1
2002,94,M,1
2002,95,F,1
2002,95,M,0
2002,96,F,3
2002,96,M,0
2002,97,F,0
2002,97,M,0
2002,98,F,0
2002,98,M,0
2002,99,F,0
2002,99,M,0
2002,100,F,0
2002,100,M,0
2002,101,F,0
2002,101,M,0
2002,102,F,0
2002,102,M,0
2002,103,F,0
2002,103,M,0
2002,104,F,0
2002,104,M,0
2002,105,F,0
2002,105,M,0
2002,106,F,0
2002,106,M,0
2002,107,F,0
2002,107,M,0
2002,108,F,0
2002,108,M,0
2002,109,F,0
2002,109,M,0
2002,110,F,0
2002,110,M,0
2003,0,F,0
2003,0,M,0
2003,1,F,0
2003,1,M,0
2003,2,F,0
2003,2,M,0
2003,3,F,227
2003,3,M,297
2003,4,F,175
2003,4,M,257
2003,5,F,115
2003,5,M,188
2003,6,F,93
2003,6,M,140
2003,7,F,93
2003,7,M,100
2003,8,F,75
2003,8,M,72
2003,9,F,64
2003,9,M,63
2003,10,F,57
2003,10,M,56
2003,11,F,53
2003,11,M,39
2003,12,F,48
2003,12,M,46
2003,13,F,50
2003,13,M,33
2003,14,F,41
2003,14,M,29
2003,15,F,33
2003,15,M,26
2003,16,F,37
2003,16,M,29
2003,17,F,31
2003,17,M,19
2003,18,F,31
2003,18,M,18
2003,19,F,36
2003,19,M,26
2003,20,F,25
2003,20,M,14
2003,21,F,33
2003,21,M,17
2003,22,F,35
2003,22,M,21
2003,23,F,24
2003,23,M,18
2003,24,F,35
2003,24,M,21
2003,25,F,37
2003,25,M,21
2003,26,F,29
2003,26,M,28
2003,27,F,29
2003,27,M,18
2003,28,F,36
2003,28,M,26
2003,29,F,39
2003,29,M,25
2003,30,F,38
2003,30,M,26
2003,31,F,48
2003,31,M,34
2003,32,F,50
2003,32,M,23
2003,33,F,50
2003,33,M,23
2003,34,F,35
2003,34,M,23
2003,35,F,42
2003,35,M,28
2003,36,F,44
2003,36,M,30
2003,37,F,42
2003,37,M,26
2003,38,F,42
2003,38,M,42
2003,39,F,50
2003,39,M,43
2003,40,F,72
2003,40,M,52
2003,41,F,51
2003,41,M,34
2003,42,F,57
2003,42,M,33
2003,43,F,45
2003,43,M,35
2003,44,F,43
2003,44,M,39
2003,45,F,49
2003,45,M,27
2003,46,F,47
2003,46,M,25
2003,47,F,40
2003,47,M,31
2003,48,F,47
2003,48,M,36
2003,49,F,45
2003,49,M,37
2003,50,F,33
2003,50,M,30
2003,51,F,48
2003,51,M,27
2003,52,F,40
2003,52,M,30
2003,53,F,44
2003,53,M,32
2003,54,F,31
2003,54,M,34
2003,55,F,44
2003,55,M,25
2003,56,F,38
2003,56,M,38
2003,57,F,40
2003,57,M,17
2003,58,F,37
2003,58,M,20
2003,59,F,29
2003,59,M,26
2003,60,F,28
2003,60,M,26
2003,61,F,28
2003,61,M,16
2003,62,F,39
2003,62,M,22
2003,63,F,29
2003,63,M,18
2003,64,F,37
2003,64,M,24
2003,65,F,22
2003,65,M,24
2003,66,F,24
2003,66,M,15
2003,67,F,26
2003,67,M,23
2003,68,F,22
2003,68,M,18
2003,69,F,19
2003,69,M,8
2003,70,F,23
2003,70,M,17
2003,71,F,24
2003,71,M,20
2003,72,F,27
2003,72,M,11
2003,73,F,25
2003,73,M,13
2003,74,F,13
2003,74,M,20
2003,75,F,25
2003,75,M,17
2003,76,F,15
2003,76,M,14
2003,77,F,14
2003,77,M,14
2003,78,F,17
2003,78,M,14
2003,79,F,13
2003,79,M,12
2003,80,F,24
2003,80,M,6
2003,81,F,21
2003,81,M,9
2003,82,F,14
2003,82,M,5
2003,83,F,19
2003,83,M,4
2003,84,F,14
2003,84,M,2
2003,85,F,10
2003,85,M,4
2003,86,F,8
2003,86,M,7
2003,87,F,7
2003,87,M,2
2003,88,F,7
2003,88,M,6
2003,89,F,9
2003,89,M,0
2003,90,F,7
2003,90,M,5
2003,91,F,2
2003,91,M,3
2003,92,F,4
2003,92,M,0
2003,93,F,1
2003,93,M,1
2003,94,F,3
2003,94,M,0
2003,95,F,0
2003,95,M,1
2003,96,F,0
2003,96,M,2
2003,97,F,0
2003,97,M,1
2003,98,F,0
2003,98,M,0
2003,99,F,0
2003,99,M,0
2003,100,F,0
2003,100,M,0
2003,101,F,0
2003,101,M,0
2003,102,F,0
2003,102,M,0
2003,103,F,0
2003,103,M,0
2003,104,F,0
2003,104,M,0
2003,105,F,0
2003,105,M,0
2003,106,F,0
2003,106,M,0
2003,107,F,0
2003,107,M,0
2003,108,F,0
2003,108,M,0
2003,109,F,0
2003,109,M,0
2003,110,F,0
2003,110,M,0
2004,0,F,0
2004,0,M,0
2004,1,F,0
2004,1,M,0
2004,2,F,0
2004,2,M,0
2004,3,F,195
2004,3,M,308
2004,4,F,166
2004,4,M,263
2004,5,F,136
2004,5,M,179
2004,6,F,84
2004,6,M,116
2004,7,F,68
2004,7,M,106
2004,8,F,72
2004,8,M,69
2004,9,F,67
2004,9,M,63
2004,10,F,50
2004,10,M,51
2004,11,F,54
2004,11,M,35
2004,12,F,45
2004,12,M,30
2004,13,F,27
2004,13,M,33
2004,14,F,40
2004,14,M,25
2004,15,F,21
2004,15,M,34
2004,16,F,28
2004,16,M,25
2004,17,F,31
2004,17,M,20
2004,18,F,27
2004,18,M,16
2004,19,F,32
2004,19,M,19
2004,20,F,31
2004,20,M,22
2004,21,F,31
2004,21,M,23
2004,22,F,38
2004,22,M,21
2004,23,F,41
2004,23,M,18
2004,24,F,34
2004,24,M,22
2004,25,F,34
2004,25,M,26
2004,26,F,35
2004,26,M,19
2004,27,F,32
2004,27,M,23
2004,28,F,30
2004,28,M,27
2004,29,F,32
2004,29,M,20
2004,30,F,46
2004,30,M,30
2004,31,F,38
2004,31,M,25
2004,32,F,34
2004,32,M,24
2004,33,F,38
2004,33,M,29
2004,34,F,47
2004,34,M,18
